2018-01-09 19:26:56,939 | INFO | DefaultCamelContext.java 2901 | Apache Camel 2.18.1 (CamelContext: camel-1) is starting
2018-01-09 19:26:56,943 | INFO | ManagedManagementStrategy.java 191 | JMX is enabled
2018-01-09 19:26:57,120 | INFO | DefaultTypeConverter.java 56 | Loaded 189 type converters
2018-01-09 19:26:57,141 | INFO | DefaultRuntimeEndpointRegistry.java 203 | Runtime endpoint registry is in extended mode gathering usage statistics of all incoming and outgoing endpoints (cache limit: 1000)
2018-01-09 19:26:57,258 | INFO | DefaultCamelContext.java 3148 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2018-01-09 19:26:57,294 | INFO | DefaultCamelContext.java 3689 | Route: route1 started and consuming from: timer://CSVReader?period=10s
2018-01-09 19:26:57,296 | INFO | DefaultCamelContext.java 2943 | Total 1 routes, of which 1 are started.
2018-01-09 19:26:57,298 | INFO | DefaultCamelContext.java 2944 | Apache Camel 2.18.1 (CamelContext: camel-1) started in 0.359 seconds
2018-01-09 19:26:58,304 | INFO | CamelLogger.java 159 | Timer Triggered
2018-01-09 19:26:58,309 | INFO | FileEndpoint.java 104 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2018-01-09 19:26:58,310 | INFO | FileEndpoint.java 110 | Using default memory based idempotent repository with cache max size: 1000
2018-01-09 19:26:59,331 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, Headers: {CamelFileAbsolute=false, CamelFileAbsolutePath=/Dilip/Study/ApacheCamel/TeachApacheCamel/tutorialcodebase/folder-polling-camelapp/data/input/file1.txt, CamelFileLastModified=1515547228000, CamelFileLength=5, CamelFileName=file1.txt, CamelFileNameConsumed=file1.txt, CamelFileNameOnly=file1.txt, CamelFileParent=data/input, CamelFilePath=data/input/file1.txt, CamelFileRelativePath=file1.txt, CamelToEndpoint=file://data/input?noop=true}, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[file1.txt]]]
2018-01-09 19:27:08,304 | INFO | CamelLogger.java 159 | Timer Triggered
