2017-06-02 08:35:45,787 | INFO | CamelTestSupport.java 242 | ********************************************************************************
2017-06-02 08:35:45,790 | INFO | CamelTestSupport.java 243 | Testing: testAggregate(AggregatorEIPRouteTest)
2017-06-02 08:35:45,790 | INFO | CamelTestSupport.java 244 | ********************************************************************************
2017-06-02 08:35:47,033 | INFO | DefaultCamelContext.java 3010 | Apache Camel 2.20.0-SNAPSHOT (CamelContext: camel-1) is starting
2017-06-02 08:35:47,034 | INFO | DefaultManagementStrategy.java 238 | JMX is disabled
2017-06-02 08:35:47,069 | INFO | DefaultTypeConverter.java 56 | Loaded 193 type converters
2017-06-02 08:35:47,149 | INFO | DefaultCamelContext.java 3298 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2017-06-02 08:35:47,151 | INFO | AggregateProcessor.java 1318 | Defaulting to MemoryAggregationRepository
2017-06-02 08:35:47,154 | INFO | DefaultCamelContext.java 3844 | Route: route1 started and consuming from: direct://input
2017-06-02 08:35:47,154 | INFO | DefaultCamelContext.java 3053 | Total 1 routes, of which 1 are started.
2017-06-02 08:35:47,156 | INFO | DefaultCamelContext.java 3054 | Apache Camel 2.20.0-SNAPSHOT (CamelContext: camel-1) started in 0.121 seconds
2017-06-02 08:35:47,166 | INFO | CamelLogger.java 159 | Body :  1  correlation id :  
2017-06-02 08:35:47,169 | INFO | CamelLogger.java 159 | Body :  2  correlation id :  
2017-06-02 08:35:47,169 | INFO | CamelLogger.java 159 | Body :  3  correlation id :  
2017-06-02 08:35:47,171 | INFO | CamelLogger.java 159 | Sending out 123
2017-06-02 08:35:47,172 | INFO | MockEndpoint.java 385 | Asserting: mock://output is satisfied
2017-06-02 08:35:47,172 | INFO | CamelTestSupport.java 388 | ********************************************************************************
2017-06-02 08:35:47,173 | INFO | CamelTestSupport.java 389 | Testing done: testAggregate(AggregatorEIPRouteTest)
2017-06-02 08:35:47,173 | INFO | CamelTestSupport.java 390 | Took: 0.015 seconds (15 millis)
2017-06-02 08:35:47,173 | INFO | CamelTestSupport.java 419 | ********************************************************************************
2017-06-02 08:35:47,177 | INFO | DefaultCamelContext.java 3324 | Apache Camel 2.20.0-SNAPSHOT (CamelContext: camel-1) is shutting down
2017-06-02 08:35:47,178 | INFO | DefaultShutdownStrategy.java 195 | Starting to graceful shutdown 1 routes (timeout 10 seconds)
