2017-07-08 21:33:01,692 | INFO | CamelTestSupport.java 243 | ********************************************************************************
2017-07-08 21:33:01,696 | INFO | CamelTestSupport.java 244 | Testing: jms2DBRouteTest(com.learncamel.routes.jms2jdbc.Jms2DBRouteTest)
2017-07-08 21:33:01,696 | INFO | CamelTestSupport.java 245 | ********************************************************************************
2017-07-08 21:33:02,302 | INFO | DefaultCamelContext.java 2905 | Apache Camel 2.18.3 (CamelContext: camel-1) is starting
2017-07-08 21:33:02,303 | INFO | DefaultManagementStrategy.java 238 | JMX is disabled
2017-07-08 21:33:02,375 | INFO | DefaultTypeConverter.java 56 | Loaded 193 type converters
2017-07-08 21:33:02,540 | INFO | DefaultCamelContext.java 3152 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2017-07-08 21:33:02,751 | INFO | FailoverTransport.java 1052 | Successfully connected to tcp://localhost:61616
2017-07-08 21:33:02,766 | INFO | DefaultCamelContext.java 3693 | Route: route1 started and consuming from: activemq://queue:testQueue
2017-07-08 21:33:02,767 | INFO | DefaultCamelContext.java 2947 | Total 1 routes, of which 1 are started.
2017-07-08 21:33:02,769 | INFO | DefaultCamelContext.java 2948 | Apache Camel 2.18.3 (CamelContext: camel-1) started in 0.465 seconds
2017-07-08 21:33:21,636 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, BodyType: String, Body: Enter some text here for the message body...]
2017-07-08 21:33:21,749 | INFO | CamelLogger.java 159 | Exception While inserting messages.
2017-07-08 21:35:51,956 | INFO | CamelTestSupport.java 243 | ********************************************************************************
2017-07-08 21:35:51,958 | INFO | CamelTestSupport.java 244 | Testing: jms2DBRouteTest(com.learncamel.routes.jms2jdbc.Jms2DBRouteTest)
2017-07-08 21:35:51,959 | INFO | CamelTestSupport.java 245 | ********************************************************************************
2017-07-08 21:35:52,449 | INFO | DefaultCamelContext.java 2905 | Apache Camel 2.18.3 (CamelContext: camel-1) is starting
2017-07-08 21:35:52,450 | INFO | DefaultManagementStrategy.java 238 | JMX is disabled
2017-07-08 21:35:52,539 | INFO | DefaultTypeConverter.java 56 | Loaded 193 type converters
2017-07-08 21:35:52,697 | INFO | DefaultCamelContext.java 3152 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2017-07-08 21:35:52,906 | INFO | FailoverTransport.java 1052 | Successfully connected to tcp://localhost:61616
2017-07-08 21:35:52,916 | INFO | DefaultCamelContext.java 3693 | Route: route1 started and consuming from: activemq://queue:testQueue
2017-07-08 21:35:52,916 | INFO | DefaultCamelContext.java 2947 | Total 1 routes, of which 1 are started.
2017-07-08 21:35:52,919 | INFO | DefaultCamelContext.java 2948 | Apache Camel 2.18.3 (CamelContext: camel-1) started in 0.468 seconds
2017-07-08 21:36:01,003 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, BodyType: String, Body: Enter some text here for the message body...]
2017-07-08 21:36:01,084 | INFO | CamelLogger.java 159 | Exception While inserting messages.
2017-07-08 21:36:01,084 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, BodyType: String, Body: INSERT INTO messages2 values ( '1','Enter some text here for the message body...')]
2017-07-08 21:39:05,468 | INFO | CamelTestSupport.java 243 | ********************************************************************************
2017-07-08 21:39:05,470 | INFO | CamelTestSupport.java 244 | Testing: jms2DBRouteTest(com.learncamel.routes.jms2jdbc.Jms2DBRouteTest)
2017-07-08 21:39:05,470 | INFO | CamelTestSupport.java 245 | ********************************************************************************
2017-07-08 21:39:05,944 | INFO | DefaultCamelContext.java 2905 | Apache Camel 2.18.3 (CamelContext: camel-1) is starting
2017-07-08 21:39:05,945 | INFO | DefaultManagementStrategy.java 238 | JMX is disabled
2017-07-08 21:39:06,018 | INFO | DefaultTypeConverter.java 56 | Loaded 193 type converters
2017-07-08 21:39:06,178 | INFO | DefaultCamelContext.java 3152 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2017-07-08 21:39:06,403 | INFO | FailoverTransport.java 1052 | Successfully connected to tcp://localhost:61616
2017-07-08 21:39:06,413 | INFO | DefaultCamelContext.java 3693 | Route: route1 started and consuming from: activemq://queue:testQueue
2017-07-08 21:39:06,414 | INFO | DefaultCamelContext.java 2947 | Total 1 routes, of which 1 are started.
2017-07-08 21:39:06,416 | INFO | DefaultCamelContext.java 2948 | Apache Camel 2.18.3 (CamelContext: camel-1) started in 0.471 seconds
2017-07-08 21:39:21,893 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, BodyType: String, Body: Enter some text here for the message body...]
2017-07-08 21:39:21,989 | INFO | CamelLogger.java 159 | Exception While inserting messages.
2017-07-08 21:39:21,990 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, BodyType: String, Body: INSERT INTO messages2 values ( '1','Enter some text here for the message body...')]
2017-07-08 21:39:33,506 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, BodyType: String, Body: 23]
2017-07-08 21:39:33,508 | INFO | CamelLogger.java 159 | Exception While inserting messages.
2017-07-08 21:39:33,509 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, BodyType: String, Body: INSERT INTO messages2 values ( '1','23')]
