2017-06-05 16:39:52,255 | INFO | DefaultCamelContext.java 2905 | Apache Camel 2.18.3 (CamelContext: camel-1) is starting
2017-06-05 16:39:52,258 | INFO | ManagedManagementStrategy.java 191 | JMX is enabled
2017-06-05 16:39:52,466 | INFO | DefaultTypeConverter.java 56 | Loaded 189 type converters
2017-06-05 16:39:52,500 | INFO | DefaultRuntimeEndpointRegistry.java 203 | Runtime endpoint registry is in extended mode gathering usage statistics of all incoming and outgoing endpoints (cache limit: 1000)
2017-06-05 16:39:52,639 | INFO | DefaultCamelContext.java 3152 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2017-06-05 16:39:52,641 | INFO | FileEndpoint.java 104 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2017-06-05 16:39:52,641 | INFO | FileEndpoint.java 110 | Using default memory based idempotent repository with cache max size: 1000
2017-06-05 16:39:52,691 | INFO | DefaultCamelContext.java 3693 | Route: route1 started and consuming from: file://data/input?noop=true
2017-06-05 16:39:52,691 | INFO | DefaultCamelContext.java 2947 | Total 1 routes, of which 1 are started.
2017-06-05 16:39:52,694 | INFO | DefaultCamelContext.java 2948 | Apache Camel 2.18.3 (CamelContext: camel-1) started in 0.438 seconds
2017-06-05 16:39:53,709 | INFO | CamelLogger.java 159 | Received Message is Hi
Hello
2017-06-05 16:39:53,724 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[file1.txt]]]
2017-06-05 16:39:53,725 | INFO | CamelLogger.java 159 | Received Message is Hi
Hello
2017-06-05 16:39:53,728 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[file2.txt]]]
2017-06-05 16:39:57,694 | INFO | DefaultCamelContext.java 3173 | Apache Camel 2.18.3 (CamelContext: camel-1) is shutting down
2017-06-05 16:39:57,696 | INFO | DefaultShutdownStrategy.java 196 | Starting to graceful shutdown 1 routes (timeout 300 seconds)
2017-06-05 16:39:57,701 | INFO | DefaultShutdownStrategy.java 669 | Route: route1 shutdown complete, was consuming from: file://data/input?noop=true
2017-06-05 16:39:57,701 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2017-06-05 16:39:57,718 | INFO | DefaultCamelContext.java 3262 | Apache Camel 2.18.3 (CamelContext: camel-1) uptime 5.464 seconds
2017-06-05 16:39:57,718 | INFO | DefaultCamelContext.java 3263 | Apache Camel 2.18.3 (CamelContext: camel-1) is shutdown in 0.023 seconds
2017-06-05 16:40:44,771 | INFO | DefaultCamelContext.java 2905 | Apache Camel 2.18.3 (CamelContext: camel-1) is starting
2017-06-05 16:40:44,774 | INFO | ManagedManagementStrategy.java 191 | JMX is enabled
2017-06-05 16:40:44,976 | INFO | DefaultTypeConverter.java 56 | Loaded 189 type converters
2017-06-05 16:40:45,010 | INFO | DefaultRuntimeEndpointRegistry.java 203 | Runtime endpoint registry is in extended mode gathering usage statistics of all incoming and outgoing endpoints (cache limit: 1000)
2017-06-05 16:40:45,153 | INFO | DefaultCamelContext.java 3152 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2017-06-05 16:40:45,156 | INFO | FileEndpoint.java 104 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2017-06-05 16:40:45,156 | INFO | FileEndpoint.java 110 | Using default memory based idempotent repository with cache max size: 1000
2017-06-05 16:40:45,207 | INFO | DefaultCamelContext.java 3693 | Route: route1 started and consuming from: file://data/input?noop=true
2017-06-05 16:40:45,207 | INFO | DefaultCamelContext.java 2947 | Total 1 routes, of which 1 are started.
2017-06-05 16:40:45,209 | INFO | DefaultCamelContext.java 2948 | Apache Camel 2.18.3 (CamelContext: camel-1) started in 0.438 seconds
2017-06-05 16:40:46,227 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[file1.txt]]]
2017-06-05 16:40:46,229 | INFO | CamelLogger.java 159 | Received Message is Hi
Hello
2017-06-05 16:40:46,241 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[file2.txt]]]
2017-06-05 16:40:46,241 | INFO | CamelLogger.java 159 | Received Message is Hi
Hello
2017-06-05 16:40:50,212 | INFO | DefaultCamelContext.java 3173 | Apache Camel 2.18.3 (CamelContext: camel-1) is shutting down
2017-06-05 16:40:50,213 | INFO | DefaultShutdownStrategy.java 196 | Starting to graceful shutdown 1 routes (timeout 300 seconds)
2017-06-05 16:40:50,219 | INFO | DefaultShutdownStrategy.java 669 | Route: route1 shutdown complete, was consuming from: file://data/input?noop=true
2017-06-05 16:40:50,219 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2017-06-05 16:40:50,234 | INFO | DefaultCamelContext.java 3262 | Apache Camel 2.18.3 (CamelContext: camel-1) uptime 5.465 seconds
2017-06-05 16:40:50,234 | INFO | DefaultCamelContext.java 3263 | Apache Camel 2.18.3 (CamelContext: camel-1) is shutdown in 0.022 seconds
